symbol,date,open,high,low,close,adjusted_close,volume
AAPL,2024-01-02,187.15,188.44,183.89,185.64,183.7313,82488700
MSFT,2024-01-02,373.86,375.9,366.771,370.87,364.5895,25258631
NVDA,2024-01-02,492.44,492.95,475.95,481.68,48.1386,411254216
SPY,2024-01-02,472.16,473.67,470.49,472.65,459.9844,123623700
AAPL,2024-01-03,184.22,185.88,183.43,184.25,182.3556,58414500
MSFT,2024-01-03,369.01,373.2562,368.51,370.6,364.324,23083471
NVDA,2024-01-03,474.85,481.841,473.2,475.69,47.5399,320896187
SPY,2024-01-03,470.43,471.19,468.17,468.79,456.2278,103585900
AAPL,2024-01-04,182.15,183.09,180.88,181.91,180.0397,71983600
MSFT,2024-01-04,370.665,373.1,367.17,367.94,361.7091,20901500
NVDA,2024-01-04,477.67,485.0,475.08,479.98,47.9687,306534877
SPY,2024-01-04,468.3,470.96,467.05,467.28,454.7583,84232200
AAPL,2024-01-05,181.99,182.76,180.17,181.18,179.3172,62379700
MSFT,2024-01-05,368.97,372.06,366.5,367.75,361.5223,21004580
NVDA,2024-01-05,484.62,495.47,483.0601,490.97,49.067,415039296
SPY,2024-01-05,467.49,470.44,466.43,467.92,455.3811,86118900
AAPL,2024-01-08,182.09,185.6,181.5,185.56,183.6521,59144500
MSFT,2024-01-08,369.3,375.2,369.01,374.69,368.3448,23133971
NVDA,2024-01-08,495.12,522.75,494.79,522.53,52.2211,642509874
SPY,2024-01-08,468.43,474.75,468.3,474.6,461.8821,74879100
AAPL,2024-01-09,183.92,185.15,182.73,185.14,183.2365,42841800
MSFT,2024-01-09,372.01,375.99,371.19,375.79,369.4261,20829949
NVDA,2024-01-09,524.01,543.25,516.9,531.4,53.1075,773100072
SPY,2024-01-09,471.87,474.93,471.35,473.88,461.1814,65931400
AAPL,2024-01-10,184.35,186.4,183.92,186.19,184.2757,46792900
MSFT,2024-01-10,376.37,384.17,376.32,382.77,376.2879,25514250
NVDA,2024-01-10,536.16,546.0,534.89,543.5,54.3168,533795775
SPY,2024-01-10,474.16,477.45,473.87,476.56,463.7896,67310600
AAPL,2024-01-11,186.54,187.05,183.62,185.59,183.6818,49128400
MSFT,2024-01-11,386.0,390.68,380.38,384.63,378.1164,27850850
NVDA,2024-01-11,549.99,553.46,535.6,548.22,54.7885,596758784
SPY,2024-01-11,477.59,478.12,472.26,476.35,463.5852,77940700
AAPL,2024-01-12,186.06,186.74,185.19,185.92,184.0084,40477800
MSFT,2024-01-12,385.49,388.68,384.65,388.47,381.8914,21661150
NVDA,2024-01-12,546.2,549.7,543.3008,547.1,54.6766,352993586
SPY,2024-01-12,477.84,478.6,475.23,476.68,463.9064,58026400
