DATE,HF_INDEX,SPY,IEF
2022-01-01,-0.02620000,-0.04941338,-0.01948619
2022-02-01,-0.00940000,-0.02951700,-0.00399768
2022-03-01,0.00600000,0.03437707,-0.04055277
2022-04-01,-0.02390000,-0.08493534,-0.04249850
2022-05-01,-0.00820000,0.00225768,0.00609342
2022-06-01,-0.03850000,-0.08640700,-0.00866732
2022-07-01,0.02580000,0.09680490,0.02934017
2022-08-01,-0.00380000,-0.04080191,-0.03876418
2022-09-01,-0.03940000,-0.09615865,-0.04737221
2022-10-01,0.01860000,0.08571701,-0.01471270
2022-11-01,0.02890000,0.05559150,0.03591271
2022-12-01,-0.01240000,-0.06193580,-0.01663385
2023-01-01,0.03360000,0.06776826,0.03989363
2023-02-01,-0.01080000,-0.02514281,-0.03477483
2023-03-01,0.00050000,0.03313489,0.03730443
2023-04-01,0.00400000,0.01985249,0.00821784
2023-05-01,-0.00630000,0.00461600,-0.01479720
2023-06-01,0.02180000,0.06085938,-0.01252244
2023-07-01,0.01690000,0.03656935,-0.00655187
2023-08-01,-0.00610000,-0.01625194,-0.00743442
2023-09-01,-0.01270000,-0.05078266,-0.03141304
2023-10-01,-0.01610000,-0.01825779,-0.01933287
2023-11-01,0.03820000,0.09134364,0.04536637
2023-12-01,0.02810000,0.04143308,0.03477855
2024-01-01,0.00440000,0.02004529,0.00637052
2024-02-01,0.01940000,0.05218696,-0.02322161
2024-03-01,0.01910000,0.02950323,0.00713365
2024-04-01,-0.01100000,-0.03733790,-0.03156273
2024-05-01,0.01690000,0.05057953,0.01795215
2024-06-01,0.00450000,0.03195121,0.01215957
2024-07-01,0.01460000,0.01537430,0.02890113
2024-08-01,0.00710000,0.02336555,0.01349333
2024-09-01,0.01620000,0.01788237,0.01386673
2024-10-01,-0.00590000,-0.00588351,-0.03382309
2024-11-01,0.02070000,0.05963336,0.01003262
2024-12-01,-0.01250000,-0.02733365,-0.02577500
2025-01-01,0.01710000,0.03031224,0.01258923
2025-02-01,-0.00160000,-0.01269483,0.02472556
2025-03-01,-0.01550000,-0.05855128,0.00371864
2025-04-01,-0.00130000,-0.00568807,0.01025464
2025-05-01,0.02800000,0.06284499,-0.01246579
2025-06-01,0.02380000,0.04828722,0.01599909
2025-07-01,0.00930000,0.02605583,-0.00582540
2025-08-01,0.01950000,0.02051954,0.01638760
2025-09-01,0.02250000,0.03275704,0.00650121
2025-10-01,0.00980000,0.02667596,0.00733286
2025-11-01,0.00260000,0.00195003,0.00978923
2025-12-01,0.00590000,-0.00215103,-0.01063809
2026-01-01,0.02110000,0.01773619,0.00391506
2026-02-01,0.01410000,-0.00864195,0.02136744
2026-03-01,-0.03570000,-0.05196862,-0.02284530
2026-04-01,0.04300000,0.10807055,-0.00193736
