,Instrument,EXPIR_DATE,PUTCALLIND,STRIKE_PRC,BIDSIZE,BID,ASK,ASKSIZE,TRDPRC_1,HST_CLOSE,HSTCLSDATE,ACVOL_UNS,OPINT_1,OPINTNC,MID_IV,DELTA,GAMMA,THETA,VEGA,RHO
0,SPXB202620000.U,2026-02-20,CALL,200,1,6761.8,6768.6,1,,6746.45,2026-01-26,,8,0,695.5012,0.9979,0.0,-1.6779,0.1176,0.1152
1,SPXN202620000.U,2026-02-20,PUT ,200,0,0.0,0.05,4,,0.03,2026-01-26,,199,0,368.2596,0.0,0.0,-0.0083,0.0011,0.0
2,SPXB202640000.U,2026-02-20,CALL,400,1,6562.3,6569.1,1,,6549.53,2026-01-26,,18,1,538.165,0.997,0.0,-1.8647,0.1673,0.2452
3,SPXN202640000.U,2026-02-20,PUT ,400,0,0.0,0.1,310,,0.03,2026-01-26,,1077,0,306.364,0.0,0.0,-0.0157,0.0025,-0.0002
4,SPXB202660000.U,2026-02-20,CALL,600,1,6362.9,6369.7,1,,6347.6,2026-01-26,,1,0,455.0828,0.9962,0.0,-1.9637,0.2064,0.3759
5,SPXN202660000.U,2026-02-20,PUT ,600,0,0.0,0.1,308,,0.03,2026-01-26,,1795,0,261.7404,0.0,0.0,-0.0158,0.003,-0.0002
6,SPXB202680000.U,2026-02-20,CALL,800,1,6163.4,6170.3,1,,6148.25,2026-01-26,,0,0,398.8629,0.9954,0.0,-2.0256,0.2407,0.5071
7,SPXN202680000.U,2026-02-20,PUT ,800,0,0.0,0.1,308,,0.03,2026-01-26,,1319,0,230.5838,0.0,0.0,-0.0159,0.0034,-0.0002
8,SPXb202610000.U,2026-02-20,CALL,1000,1,5964.0,5970.9,1,,5948.85,2026-01-26,,600,0,356.8336,0.9947,0.0,-2.0766,0.2733,0.6384
9,SPXn202610000.U,2026-02-20,PUT ,1000,0,0.0,0.05,444,,0.03,2026-01-26,,1811,0,198.0668,0.0,0.0,-0.0086,0.0021,-0.0001
10,SPXb202612000.U,2026-02-20,CALL,1200,1,5764.7,5771.5,1,,5749.45,2026-01-26,,3,0,323.1035,0.9941,0.0,-2.1129,0.3043,0.7697
11,SPXn202612000.U,2026-02-20,PUT ,1200,0,0.0,0.05,456,,0.03,2026-01-26,,5150,0,179.4873,0.0,0.0,-0.0086,0.0024,-0.0002
12,SPXb202614000.U,2026-02-20,CALL,1400,1,5565.3,5572.1,1,,5550.1,2026-01-26,,35,0,295.2121,0.9934,0.0,-2.148,0.3357,0.901
13,SPXn202614000.U,2026-02-20,PUT ,1400,0,0.0,0.1,1641,,0.03,2026-01-26,,1644,0,170.9797,0.0,0.0,-0.0159,0.0046,-0.0003
14,SPXb202616000.U,2026-02-20,CALL,1600,1,5365.8,5372.7,1,,5350.7,2026-01-26,,1,0,271.3568,0.9927,0.0,-2.1786,0.3671,1.0322
15,SPXn202616000.U,2026-02-20,PUT ,1600,0,0.0,0.1,1564,,0.05,2026-01-26,,3389,0,156.9187,0.0,0.0,-0.0159,0.005,-0.0004
16,SPXb202618000.U,2026-02-20,CALL,1800,1,5166.3,5173.2,1,,5151.25,2026-01-26,,6,0,250.3936,0.9919,0.0,-2.2002,0.3982,1.1634
17,SPXn202618000.U,2026-02-20,PUT ,1800,0,0.0,0.1,1535,,0.03,2026-01-26,,1306,0,144.5565,0.0,0.0,-0.0159,0.0054,-0.0004
